,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,FULL_TIME_POSITION,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,LOCATION,YEAR
0,CERTIFIED,2019-01-29,H-1B,ENGINEERING MANAGER-DATA INFRASTRUCTURE,Y,GM CRUISE LLC,SAN FRANCISCO,CA,94103,201094.0,Year,III,"SAN FRANCISCO, CA",2019
1,CERTIFIED,2019-01-31,H-1B,"SENIOR ANALYST, STRATEGY & GROWTH (DATA INTELLIGENCE)",Y,"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,168189.0,Year,II,"SAN FRANCISCO, CA",2019
2,CERTIFIED,2019-02-11,H-1B,DIRECTOR OF DATA SCIENCE AND ENGINEERING,Y,SALESFORCE.COM INC.,SAN FRANCISCO,CA,94105,201094.0,Year,III,"SAN FRANCISCO, CA",2019
3,CERTIFIED,2019-03-01,H-1B,VP/DATA SCIENCE,Y,"DIGITAS, INC.",NEW YORK,NY,10014,160763.0,Year,II,"NEW YORK, NY",2019
4,CERTIFIED,2019-03-09,H-1B,DATA ANALYTICS LEAD,Y,"PAX LABS, INC.",SAN FRANCISCO,CA,94110,135283.0,Year,I,"SAN FRANCISCO, CA",2019
5,CERTIFIED,2019-03-26,H-1B,"MANAGER, DATA SCIENTIST",Y,TWENTIETH CENTURY FOX FILM CORP.,LOS ANGELES,CA,90064,107702.0,Year,I,"LOS ANGELES, CA",2019
6,CERTIFIED,2019-04-23,H-1B,"SENIOR PRODUCT MANAGER, DATA SCIENCE AND MACHINE LEARNING",Y,"ADROLL, INC.",SAN FRANCISCO,CA,94110,168189.0,Year,II,"SAN FRANCISCO, CA",2019
7,CERTIFIED,2019-04-23,H-1B,"PRODUCT MANAGER, BIG DATA PLATFORM",Y,"ADROLL, INC.",SAN FRANCISCO,CA,94110,168189.0,Year,II,"SAN FRANCISCO, CA",2019
8,CERTIFIED,2019-05-02,H-1B,"DIRECTOR, ENGINEERING DATA PLATFORM",Y,"TAPJOY, INC.",SAN FRANCISCO,CA,94111,201094.0,Year,III,"SAN FRANCISCO, CA",2019
9,CERTIFIED,2019-05-03,H-1B,"SENIOR MANAGER, MARKETING DATABASE MANAGEMENT",Y,"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,168189.0,Year,II,"SAN FRANCISCO, CA",2019
10,CERTIFIED,2019-05-15,H-1B,"MANAGER, DATA & ANALYTICS",Y,"RALLY HEALTH, INC.",SAN FRANCISCO,CA,94107,168189.0,Year,II,"SAN FRANCISCO, CA",2019
11,CERTIFIED,2019-06-06,H-1B,DATA ENGINEERING MANAGER,Y,FACEBOOK INC.,NEW YORK,NY,10003,199139.0,Year,III,"NEW YORK, NY",2019
12,CERTIFIED,2019-06-20,H-1B,ECOM DATA ENGINEER HEAD,Y,"PEPSICO, INC.",SAN FRANCISCO,CA,94108,168189.0,Year,II,"SAN FRANCISCO, CA",2019
13,CERTIFIED,2019-07-19,H-1B,"PRODUCT MANAGER, BIG DATA PLATFORM",Y,"ADROLL, INC.",SAN FRANCISCO,CA,94110,160701.0,Year,II,"SAN FRANCISCO, CA",2019
14,CERTIFIED,2019-08-01,H-1B,"SENIOR DIRECTOR, DATA SERVICES",Y,LENDINGCLUB CORPORATION,SAN FRANCISCO,CA,94105,194251.0,Year,III,"SAN FRANCISCO, CA",2019
15,CERTIFIED,2019-03-20,H-1B,"SENIOR VICE PRESIDENT, CHIEF DATA OFFICER",Y,"WIRB-COPERNICUS GROUP, INC.",NEW YORK,NY,10016,259834.0,Year,IV,"NEW YORK, NY",2019
16,CERTIFIED,2019-09-06,H-1B,CLINICAL RESEARCH DATA SPECIALIST,Y,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,90048,49816.0,Year,I,"LOS ANGELES, CA",2019
17,CERTIFIED,2019-01-02,H-1B,DATA ANALYST,Y,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94103,73798.0,Year,II,"SAN FRANCISCO, CA",2019
18,CERTIFIED,2019-02-11,H-1B,DATA ANALYST,Y,CONTEXTLOGIC INC.,SAN FRANCISCO,CA,94104,121784.0,Year,III,"SAN FRANCISCO, CA",2019
19,CERTIFIED,2019-03-05,H-1B,SENIOR DATA SCIENTIST,Y,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94103,94328.0,Year,II,"SAN FRANCISCO, CA",2019
20,CERTIFIED,2019-03-19,H-1B,"MANAGEMENT ANALYST, DATA OPERATIONS",Y,DIGITAL ENLIGHTENMENT LLC,NEW YORK,NY,10091,87506.0,Year,II,"NEW YORK, NY",2019
21,CERTIFIED,2019-04-29,H-1B,DATA SCIENTIST,Y,DANAHER LABS LLC,LOS ANGELES,CA,90025,93870.0,Year,III,"LOS ANGELES, CA",2019
22,CERTIFIED,2019-09-03,H-1B,LEAD DATA ANALYST III,Y,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,CA,94105,140254.0,Year,IV,"SAN FRANCISCO, CA",2019
23,CERTIFIED,2019-09-12,H-1B,LEAD DATA ANALYST I,Y,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,CA,94105,140254.0,Year,IV,"SAN FRANCISCO, CA",2019
24,CERTIFIED,2019-01-14,H-1B,LEAD DATA SCIENTIST,Y,AETNA RESOURCES LLC,NEW YORK,NY,10017,97573.0,Year,IV,"NEW YORK, NY",2019
25,CERTIFIED,2019-01-22,H-1B,"MANAGER, DATABASE MARKETING 3",Y,"PAYPAL, INC.",NEW YORK,NY,10014,97573.0,Year,IV,"NEW YORK, NY",2019
26,CERTIFIED,2019-01-23,H-1B,SENIOR DATA SCIENTIST,Y,"RALLY HEALTH, INC.",SAN FRANCISCO,CA,94107,116792.0,Year,IV,"SAN FRANCISCO, CA",2019
27,CERTIFIED,2019-01-29,H-1B,ASSOCIATE DATA ANALYST,Y,GLU MOBILE INC.,SAN FRANCISCO,CA,94103,96907.0,Year,III,"SAN FRANCISCO, CA",2019
28,CERTIFIED,2019-02-20,H-1B,MARKET DATA ANALYST,Y,"NOMURA AMERICA SERVICES, LLC",NEW YORK,NY,10019,80829.0,Year,III,"NEW YORK, NY",2019
29,CERTIFIED,2019-02-27,H-1B,"ANALYST, DATA & ANALYSIS",Y,"DIGITAS, INC.",SAN FRANCISCO,CA,94104,57158.0,Year,I,"SAN FRANCISCO, CA",2019
30,CERTIFIED,2019-02-28,H-1B,DATA SCIENTIST (MARKET RESEARCH ANALYST),Y,"N3TWORK, INC.",SAN FRANCISCO,CA,94104,116792.0,Year,IV,"SAN FRANCISCO, CA",2019
31,CERTIFIED,2019-03-06,H-1B,"MARKETING MANAGER, DATA STRATEGY & ANALYTICS",Y,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94103,96907.0,Year,III,"SAN FRANCISCO, CA",2019
32,CERTIFIED,2019-03-09,H-1B,SENIOR DATA STRATEGIST,Y,"GREY GLOBAL GROUP, LLC",NEW YORK,NY,10010,80829.0,Year,III,"NEW YORK, NY",2019
33,CERTIFIED,2019-03-11,H-1B,MARKET RESEARCH DATA ANALYST,Y,"GROUP SJR, LLC",NEW YORK,NY,10010,64085.0,Year,II,"NEW YORK, NY",2019
34,CERTIFIED,2019-03-13,H-1B,SENIOR DATA STRATEGIST,Y,"GREY GLOBAL GROUP, LLC",NEW YORK,NY,10010,80829.0,Year,III,"NEW YORK, NY",2019
35,CERTIFIED,2019-03-18,H-1B,BUSINESS INTELLIGENCE DATA ANALYST,Y,HEALTHLINE MEDIA INC,SAN FRANCISCO,CA,94107,77043.0,Year,II,"SAN FRANCISCO, CA",2019
36,CERTIFIED,2019-04-09,H-1B,"ASSOCIATE DIRECTOR, DATA SCIENCES",Y,PHD MEDIA LLC,NEW YORK,NY,10017,97573.0,Year,IV,"NEW YORK, NY",2019
37,CERTIFIED,2019-04-19,H-1B,"MANAGER, DATA & ANALYTICS",Y,TBWA WORLDWIDE INC.,NEW YORK,NY,10022,80829.0,Year,III,"NEW YORK, NY",2019
38,CERTIFIED,2019-05-02,H-1B,GROWTH DATA ANALYST,Y,EIGHT SLEEP INC.,NEW YORK,NY,10010,97573.0,Year,IV,"NEW YORK, NY",2019
39,CERTIFIED,2019-05-08,H-1B,MARKETING DATA STRATEGIST,Y,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94103,96907.0,Year,III,"SAN FRANCISCO, CA",2019
40,CERTIFIED,2019-06-06,H-1B,MARKETING DATA OPERATIONS MANAGER,Y,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94105,77043.0,Year,II,"SAN FRANCISCO, CA",2019
41,CERTIFIED,2019-08-06,H-1B,SR. MARKETING DATA ANALYST,Y,"ZENDESK, INC.",SAN FRANCISCO,CA,94103,88754.0,Year,III,"SAN FRANCISCO, CA",2019
42,CERTIFIED,2019-03-21,H-1B,DATA SCIENTIST,Y,"BIZ2CREDIT, INC",NEW YORK,NY,10018,66352.0,Year,II,"NEW YORK, NY",2019
43,CERTIFIED,2019-03-22,H-1B,DATA ANALYST,Y,"CHINESE COMMUNITY ACCOUNTABLE CARE ORGANIZATION, INC.",NEW YORK,NY,10013,50586.0,Year,I,"NEW YORK, NY",2019
44,CERTIFIED,2019-02-13,H-1B,DATA ANALYST I,Y,"TWITTER, INC.",SAN FRANCISCO,CA,94103,104354.0,Year,II,"SAN FRANCISCO, CA",2019
45,CERTIFIED,2019-02-21,H-1B,FINANCIAL DATA ANALYST,Y,ULFBERHT LABS CORP,NEW YORK,NY,10004,164507.0,Year,II,"NEW YORK, NY",2019
46,CERTIFIED,2019-02-25,H-1B,"ASSOCIATE, DATA ANALYST",Y,JPMORGAN CHASE & CO.,NEW YORK,NY,10036,106371.0,Year,II,"NEW YORK, NY",2019
47,CERTIFIED,2019-03-11,H-1B,DATA INTELLIGENCE ANALYST (DATA OPERATIONS),Y,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,CA,94105,73715.0,Year,I,"SAN FRANCISCO, CA",2019
48,CERTIFIED,2019-03-11,H-1B,"DATA ANALYST, COMPLIANCE & RISK",Y,LENDINGCLUB CORPORATION,SAN FRANCISCO,CA,94105,73715.0,Year,I,"SAN FRANCISCO, CA",2019
49,CERTIFIED,2019-03-12,H-1B,SENIOR FINANCIAL DATA ANALYST,Y,LENDINGCLUB CORPORATION,SAN FRANCISCO,CA,94105,104354.0,Year,II,"SAN FRANCISCO, CA",2019
50,CERTIFIED,2019-03-27,H-1B,"ASSOCIATE, DATA SCIENTIST",Y,GREYCROFT LP,NEW YORK,NY,10017,137946.0,Year,III,"NEW YORK, NY",2019
51,CERTIFIED,2019-05-29,H-1B,DATA RESEARCH AND ACCELERATION ANALYST,Y,"TWO SIGMA INVESTMENTS, LP",NEW YORK,NY,10013,106371.0,Year,II,"NEW YORK, NY",2019
52,CERTIFIED,2019-06-20,H-1B,ASSISTANT VICE PRESIDENT DATA GOVERNANCE,Y,"MOODY'S SHARED SERVICES, INC.",NEW YORK,NY,10007,137946.0,Year,III,"NEW YORK, NY",2019
53,CERTIFIED,2019-07-22,H-1B,"VICE PRESIDENT, ASSET MANAGEMENT & FINANCIAL DATA ANALYTICS",Y,TRINGAPPS INC,NEW YORK,NY,10020,137821.0,Year,III,"NEW YORK, NY",2019
54,CERTIFIED,2019-07-22,H-1B,"VICE PRESIDENT, ASSET MANAGEMENT & FINANCIAL DATA ANALYTICS",Y,TRINGAPPS INC,NEW YORK,NY,10020,170019.0,Year,IV,"NEW YORK, NY",2019
55,CERTIFIED,2019-03-04,H-1B,"ASSOCIATE, DATA SCIENCE & MACHINE LEARNING PROGRAM",Y,JPMORGAN CHASE & CO.,NEW YORK,NY,10017,80517.0,Year,II,"NEW YORK, NY",2019
56,CERTIFIED,2019-03-11,H-1B,DATA SCIENTIST ASSISTANT DIRECTOR,Y,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,CA,94105,78125.0,Year,II,"SAN FRANCISCO, CA",2019
57,CERTIFIED,2019-03-11,H-1B,LEAD FINANCIAL DATA ANALYST,Y,"MOODY'S INVESTORS SERVICE, INC.",NEW YORK,NY,10007,57970.0,Year,I,"NEW YORK, NY",2019
58,CERTIFIED,2019-03-11,H-1B,FINANCIAL DATA ANALYST,Y,"MOODY'S INVESTORS SERVICE, INC.",NEW YORK,NY,10007,57970.0,Year,I,"NEW YORK, NY",2019
59,CERTIFIED,2019-03-12,H-1B,DATA ANALYST,Y,"EXODUSPOINT CAPITAL MANAGEMENT, LP",NEW YORK,NY,10022,80517.0,Year,II,"NEW YORK, NY",2019
60,CERTIFIED,2019-03-13,H-1B,DATA ANALYST,Y,DV01 INC.,NEW YORK,NY,10010,57970.0,Year,I,"NEW YORK, NY",2019
61,CERTIFIED,2019-03-14,H-1B,"BUSINESS INTELLIGENCE ANALYST, DATA INTELLIGENCE & STRATEGT",Y,"WISDOMTREE ASSET MANAGEMENT, INC.",NEW YORK,NY,10167,51064.0,Year,I,"NEW YORK, NY",2019
62,CERTIFIED,2019-03-14,H-1B,DATA OPERATIONS ANALYST,Y,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,CA,94105,78125.0,Year,II,"SAN FRANCISCO, CA",2019
63,CERTIFIED,2019-03-19,H-1B,"ASSISTANT DIRECTOR, DATA INTELLIGENCE ANALYST",Y,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,CA,94105,78125.0,Year,II,"SAN FRANCISCO, CA",2019
64,CERTIFIED,2019-03-19,H-1B,"NON-OFFICER, BIG DATA BUSINESS ANALYST",Y,UBS FINANCIAL SERVICES INC.,NEW YORK,NY,10019,80517.0,Year,II,"NEW YORK, NY",2019
65,CERTIFIED-WITHDRAWN,2019-03-25,H-1B,"MANAGER, DATA SCIENCE",Y,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",NEW YORK,NY,10285,103043.0,Year,III,"NEW YORK, NY",2019
66,CERTIFIED,2019-04-11,H-1B,DATABASE ANALYST III,Y,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NEW YORK,NY,10029,103251.0,Year,IV,"NEW YORK, NY",2019
67,CERTIFIED,2019-07-05,H-1B,DATA INTEGRATION DEVELOPER,Y,MOUNT SINAI HOSPITAL,NEW YORK,NY,10017,83408.0,Year,II,"NEW YORK, NY",2019
68,WITHDRAWN,2019-02-12,H-1B,SENIOR DATA ENGINEER,Y,OMADA HEALTH INC.,SAN FRANCISCO,CA,94111,163134.0,Year,IV,"SAN FRANCISCO, CA",2019
69,CERTIFIED,2019-01-16,H-1B,DELIVERY DATA SCIENTIST,Y,MICROSOFT CORPORATION,NEW YORK,NY,10036,114317.0,Year,II,"NEW YORK, NY",2019
70,CERTIFIED,2019-01-17,H-1B,DATA SCIENTIST,Y,NGINEERED STUDIO LLC,NEW YORK,NY,10014,92394.0,Year,I,"NEW YORK, NY",2019
71,CERTIFIED,2019-01-23,H-1B,DATA SCIENTIST,Y,ADOBE INC.,SAN FRANCISCO,CA,94103,129605.0,Year,III,"SAN FRANCISCO, CA",2019
72,CERTIFIED,2019-01-28,H-1B,DATA SCIENTIST 2,Y,"PAYPAL, INC.",SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
73,CERTIFIED,2019-01-28,H-1B,SENIOR DATA SCIENTIST,Y,GRAND ROUNDS INC.,SAN FRANCISCO,CA,94107,163134.0,Year,IV,"SAN FRANCISCO, CA",2019
74,CERTIFIED,2019-01-29,H-1B,DATA SCIENTIST,Y,NEWTONX INC.,NEW YORK,NY,10017,92394.0,Year,I,"NEW YORK, NY",2019
75,CERTIFIED,2019-02-01,H-1B,DATA RESEARCH SCIENTIST,Y,"CYBERCUBE ANALYTICS, INC",SAN FRANCISCO,CA,94105,96075.0,Year,II,"SAN FRANCISCO, CA",2019
