,company_size,company_id,company_name,short_name,industry
0,large,1190,Booking.com,bookingcom,"Consumer Goods & Services,Technology,Travel and Hospitality"
0,large,15000203,Circle,circle,Financial Services
0,large,1103,Philips,philips,"Healthcare,Technology"
0,large,15000190,SpaceX,spacex,"Information Technology,Manufacturing"
0,medium,15000202,GlossGenius,glossgenius,Software
0,large,15000187,Sotheby's,sothebys,Arts & Music
0,large,11895,Lyft,lyft,Technology
0,large,15000197,Rent the Runway,renttherunway,Retail
0,large,15000188,Flexport,flexport,Information Technology
0,large,15000199,Riot Games,riotgames,Entertainment & Gaming
0,large,15000277,BD,bd,Healthcare
0,large,15000230,Alteryx,alteryx,Information Technology
0,large,15000305,Ensono,ensono,"Consulting,Information Technology,Technology"
0,large,15000266,TD Bank,tdbank,Financial Services
0,large,15000289,Forcepoint,forcepoint,Technology
0,large,15000234,The Port Authority of New York & New Jersey,theportauthorityofnewyorknewjersey,"Engineering,Government"
0,large,15000240,Royal Bank of Canada,royalbankofcanada,Financial Services
0,large,15000218,Diageo,diageo,"Consumer Goods & Services,Food & Beverage,Manufacturing"
0,large,15000484,Advanced Technology Services,advancedtechnologyservices,"Manufacturing,Technology"
0,large,15000215,Capital Group,capitalgroup,Financial Services
0,large,15000273,Rentokil Terminix,rentokilterminix,Consumer Goods & Services
0,large,15000272,National Security Agency (NSA),nationalsecurityagencynsa,Government
0,medium,15000095,Appfire,appfire,"Software,Technology"
0,medium,15000312,CompTIA,comptia,"Education,Information Technology,Non-Profit,Technology"
0,large,15000255,PNC,pnc,Financial Services
0,medium,15000153,Airbase,airbase,Fintech
0,large,15000323,Data Annotation,dataannotation,"Data Science,Marketing,Media,Technology"
0,large,15000145,The Maples Group,themaplesgroup,"Financial Services,Law"
0,large,15000263,Howard Hughes,howardhughes,Real Estate & Construction
0,large,12400,BNY Mellon,bnymellon,"Client Services,Financial Services,Technology"
0,large,61,Uber,uber,Technology
0,small,15000092,Andie,andie,Retail
0,large,15000213,Enovis,enovis,Healthtech
0,large,15000461,Edward Jones,edwardjones,Financial Services
0,large,15000297,Arcesium,arcesium,"Financial Services,Fintech"
0,large,15000158,CCC Intelligent Solutions,cccintelligentsolutions,"Consumer Goods & Services,Insurance,Software,Technology"
0,small,15000127,Mendaera,mendaera,"Engineering,Healthcare,Healthtech,Technology"
0,large,15000141,RevenueWell,revenuewell,"Healthtech,Marketing,Software"
0,medium,15000227,Interos Inc,interosinc,Software
