,YEAR,LOCATION,City,State,Cost of Living Plus Rent Index
0,2019,"NEW YORK, NY",NEW YORK,NY,100.0
0,2019,"HONOLULU, HI",HONOLULU,HI,79.3
0,2019,"WASHINGTON, DC",WASHINGTON,DC,81.7
0,2019,"SAN FRANCISCO, CA",SAN FRANCISCO,CA,98.6
0,2019,"BROOKLYN, NY",BROOKLYN,NY,85.3
0,2019,"OAKLAND, CA",OAKLAND,CA,80.1
0,2019,"SEATTLE, WA",SEATTLE,WA,74.3
0,2019,"BOSTON, MA",BOSTON,MA,77.8
0,2019,"MIAMI, FL",MIAMI,FL,68.6
0,2019,"PHILADELPHIA, PA",PHILADELPHIA,PA,63.5
0,2019,"ALBANY, NY",ALBANY,NY,55.7
0,2019,"LOS ANGELES, CA",LOS ANGELES,CA,73.9
0,2019,"SACRAMENTO, CA",SACRAMENTO,CA,61.8
0,2019,"CHICAGO, IL",CHICAGO,IL,65.2
0,2019,"SAN JOSE, CA",SAN JOSE,CA,76.7
0,2019,"BELLINGHAM, WA",BELLINGHAM,WA,56.1
0,2019,"CHARLOTTE, NC",CHARLOTTE,NC,58.9
0,2019,"MINNEAPOLIS, MN",MINNEAPOLIS,MN,61.4
0,2019,"BALTIMORE, MD",BALTIMORE,MD,58.3
0,2019,"ROCHESTER, NY",ROCHESTER,NY,53.6
0,2019,"PORTLAND, OR",PORTLAND,OR,62.4
0,2019,"PITTSBURGH, PA",PITTSBURGH,PA,56.4
0,2019,"SAN DIEGO, CA",SAN DIEGO,CA,66.9
0,2019,"ATLANTA, GA",ATLANTA,GA,59.7
0,2019,"BUFFALO, NY",BUFFALO,NY,50.5
0,2019,"DENVER, CO",DENVER,CO,61.6
0,2019,"TAMPA, FL",TAMPA,FL,55.3
0,2019,"ASHEVILLE, NC",ASHEVILLE,NC,54.7
0,2019,"CLEVELAND, OH",CLEVELAND,OH,50.2
0,2019,"MILWAUKEE, WI",MILWAUKEE,WI,53.2
0,2019,"RALEIGH, NC",RALEIGH,NC,53.5
0,2019,"AUSTIN, TX",AUSTIN,TX,60.3
0,2019,"ORLANDO, FL",ORLANDO,FL,55.0
0,2019,"JACKSONVILLE, FL",JACKSONVILLE,FL,50.5
0,2019,"KANSAS CITY, MO",KANSAS CITY,MO,50.1
0,2019,"FRESNO, CA",FRESNO,CA,50.3
0,2019,"TUCSON, AZ",TUCSON,AZ,46.8
0,2019,"LAS VEGAS, NV",LAS VEGAS,NV,49.6
0,2019,"NASHVILLE, TN",NASHVILLE,TN,57.7
0,2019,"BAKERSFIELD, CA",BAKERSFIELD,CA,49.3
0,2019,"INDIANAPOLIS, IN",INDIANAPOLIS,IN,50.2
0,2019,"DALLAS, TX",DALLAS,TX,55.7
0,2019,"FORT WORTH, TX",FORT WORTH,TX,51.5
0,2019,"SAINT LOUIS, MO",SAINT LOUIS,MO,49.0
0,2019,"PHOENIX, AZ",PHOENIX,AZ,50.9
0,2019,"COLUMBUS, OH",COLUMBUS,OH,50.9
0,2019,"RICHMOND, VA",RICHMOND,VA,49.8
0,2019,"LOUISVILLE, KY",LOUISVILLE,KY,46.2
0,2019,"MEMPHIS, TN",MEMPHIS,TN,45.9
0,2019,"ALBUQUERQUE, NM",ALBUQUERQUE,NM,46.4
0,2019,"KNOXVILLE, TN",KNOXVILLE,TN,47.3
0,2019,"HOUSTON, TX",HOUSTON,TX,53.7
0,2019,"CINCINNATI, OH",CINCINNATI,OH,48.0
0,2019,"MADISON, WI",MADISON,WI,50.2
0,2019,"SALT LAKE CITY, UT",SALT LAKE CITY,UT,50.1
0,2019,"TULSA, OK",TULSA,OK,45.5
0,2019,"SAN ANTONIO, TX",SAN ANTONIO,TX,48.0
0,2019,"RENO, NV",RENO,NV,49.8
0,2019,"LITTLE ROCK, AR",LITTLE ROCK,AR,43.4
0,2019,"DETROIT, MI",DETROIT,MI,47.4
0,2019,"BOISE, ID",BOISE,ID,45.2
0,2020,"NEW YORK, NY",NEW YORK,NY,100.0
0,2020,"SAN FRANCISCO, CA",SAN FRANCISCO,CA,103.0
0,2020,"ANCHORAGE, AK",ANCHORAGE,AK,66.3
0,2020,"HONOLULU, HI",HONOLULU,HI,76.9
0,2020,"BROOKLYN, NY",BROOKLYN,NY,84.8
0,2020,"WASHINGTON, DC",WASHINGTON,DC,83.2
0,2020,"OAKLAND, CA",OAKLAND,CA,83.2
0,2020,"SEATTLE, WA",SEATTLE,WA,76.2
0,2020,"BOSTON, MA",BOSTON,MA,78.9
0,2020,"BELLEVUE, WA",BELLEVUE,WA,73.1
0,2020,"CHICAGO, IL",CHICAGO,IL,69.9
0,2020,"SARASOTA, FL",SARASOTA,FL,63.6
0,2020,"PHILADELPHIA, PA",PHILADELPHIA,PA,63.5
0,2020,"SAN JOSE, CA",SAN JOSE,CA,80.9
0,2020,"PORTLAND, OR",PORTLAND,OR,64.7
0,2020,"NEW ORLEANS, LA",NEW ORLEANS,LA,60.7
0,2020,"SACRAMENTO, CA",SACRAMENTO,CA,62.3
0,2020,"MINNEAPOLIS, MN",MINNEAPOLIS,MN,61.7
0,2020,"LOS ANGELES, CA",LOS ANGELES,CA,74.8
0,2020,"ALBANY, NY",ALBANY,NY,55.1
0,2020,"JACKSONVILLE, FL",JACKSONVILLE,FL,55.0
0,2020,"BALTIMORE, MD",BALTIMORE,MD,59.1
0,2020,"SAN DIEGO, CA",SAN DIEGO,CA,70.7
0,2020,"MIAMI, FL",MIAMI,FL,66.2
0,2020,"BUFFALO, NY",BUFFALO,NY,52.1
0,2020,"ATLANTA, GA",ATLANTA,GA,60.9
0,2020,"RENO, NV",RENO,NV,56.8
0,2020,"PITTSBURGH, PA",PITTSBURGH,PA,55.6
0,2020,"DENVER, CO",DENVER,CO,63.1
0,2020,"NASHVILLE, TN",NASHVILLE,TN,60.5
0,2020,"CHARLOTTE, NC",CHARLOTTE,NC,58.0
0,2020,"TUCSON, AZ",TUCSON,AZ,50.3
0,2020,"OLYMPIA, WA",OLYMPIA,WA,57.2
0,2020,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,54.2
0,2020,"TACOMA, WA",TACOMA,WA,56.7
0,2020,"SAINT LOUIS, MO",SAINT LOUIS,MO,50.8
0,2020,"COLUMBUS, OH",COLUMBUS,OH,51.8
0,2020,"RALEIGH, NC",RALEIGH,NC,53.9
0,2020,"KANSAS CITY, MO",KANSAS CITY,MO,50.7
0,2020,"DALLAS, TX",DALLAS,TX,58.0
0,2020,"AUSTIN, TX",AUSTIN,TX,60.3
0,2020,"LAS VEGAS, NV",LAS VEGAS,NV,52.5
0,2020,"PHOENIX, AZ",PHOENIX,AZ,52.5
0,2020,"RICHMOND, VA",RICHMOND,VA,51.3
0,2020,"TAMPA, FL",TAMPA,FL,54.5
0,2020,"LOUISVILLE, KY",LOUISVILLE,KY,48.5
0,2020,"INDIANAPOLIS, IN",INDIANAPOLIS,IN,48.6
0,2020,"SAN ANTONIO, TX",SAN ANTONIO,TX,51.8
0,2020,"ORLANDO, FL",ORLANDO,FL,54.1
0,2020,"HOUSTON, TX",HOUSTON,TX,54.4
0,2020,"SALT LAKE CITY, UT",SALT LAKE CITY,UT,51.4
0,2020,"MADISON, WI",MADISON,WI,52.0
0,2020,"TULSA, OK",TULSA,OK,46.1
0,2020,"DETROIT, MI",DETROIT,MI,51.4
0,2020,"CINCINNATI, OH",CINCINNATI,OH,48.4
0,2020,"BOISE, ID",BOISE,ID,48.2
0,2020,"LITTLE ROCK, AR",LITTLE ROCK,AR,43.8
0,2020,"EL PASO, TX",EL PASO,TX,38.2
0,2021,"NEW YORK, NY",NEW YORK,NY,100.0
0,2021,"HONOLULU, HI",HONOLULU,HI,81.4
0,2021,"SAN FRANCISCO, CA",SAN FRANCISCO,CA,101.0
0,2021,"ANCHORAGE, AK",ANCHORAGE,AK,66.1
0,2021,"OAKLAND, CA",OAKLAND,CA,87.0
0,2021,"SEATTLE, WA",SEATTLE,WA,79.6
0,2021,"BOSTON, MA",BOSTON,MA,83.6
0,2021,"QUEENS, NY",QUEENS,NY,82.1
0,2021,"WASHINGTON, DC",WASHINGTON,DC,80.7
0,2021,"JERSEY CITY, NJ",JERSEY CITY,NJ,73.6
0,2021,"BEND, OR",BEND,OR,62.8
0,2021,"MINNEAPOLIS, MN",MINNEAPOLIS,MN,64.0
0,2021,"LOS ANGELES, CA",LOS ANGELES,CA,78.2
0,2021,"FREMONT, CA",FREMONT,CA,78.1
0,2021,"FORT LAUDERDALE, FL",FORT LAUDERDALE,FL,69.1
0,2021,"MILWAUKEE, WI",MILWAUKEE,WI,59.5
0,2021,"CHICAGO, IL",CHICAGO,IL,69.6
0,2021,"CHARLESTON, SC",CHARLESTON,SC,65.9
0,2021,"SAN DIEGO, CA",SAN DIEGO,CA,74.3
0,2021,"PITTSBURGH, PA",PITTSBURGH,PA,59.6
0,2021,"SALEM, OR",SALEM,OR,57.9
0,2021,"SAINT PAUL, MN",SAINT PAUL,MN,61.9
0,2021,"TAMPA, FL",TAMPA,FL,61.8
0,2021,"IRVINE, CA",IRVINE,CA,74.8
0,2021,"PHILADELPHIA, PA",PHILADELPHIA,PA,64.1
0,2021,"PORTLAND, OR",PORTLAND,OR,64.3
0,2021,"SAN JOSE, CA",SAN JOSE,CA,80.6
0,2021,"MIAMI, FL",MIAMI,FL,69.6
0,2021,"SACRAMENTO, CA",SACRAMENTO,CA,62.7
0,2021,"BELLINGHAM, WA",BELLINGHAM,WA,59.8
0,2021,"ATLANTA, GA",ATLANTA,GA,63.4
0,2021,"BIRMINGHAM, AL",BIRMINGHAM,AL,53.4
0,2021,"EVERETT, WA",EVERETT,WA,61.1
0,2021,"CLEVELAND, OH",CLEVELAND,OH,58.2
0,2021,"NEW ORLEANS, LA",NEW ORLEANS,LA,59.1
0,2021,"ANN ARBOR, MI",ANN ARBOR,MI,62.4
0,2021,"DENVER, CO",DENVER,CO,64.0
0,2021,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,56.0
0,2021,"SPOKANE, WA",SPOKANE,WA,52.6
0,2021,"LONG BEACH, CA",LONG BEACH,CA,65.2
0,2021,"BALTIMORE, MD",BALTIMORE,MD,59.4
0,2021,"COLUMBUS, OH",COLUMBUS,OH,54.0
0,2021,"BUFFALO, NY",BUFFALO,NY,51.4
0,2021,"CHARLOTTE, NC",CHARLOTTE,NC,60.0
0,2021,"ALBANY, NY",ALBANY,NY,54.4
0,2021,"OLYMPIA, WA",OLYMPIA,WA,57.1
0,2021,"NASHVILLE, TN",NASHVILLE,TN,60.2
0,2021,"ROCHESTER, NY",ROCHESTER,NY,51.7
0,2021,"MOBILE, AL",MOBILE,AL,49.8
0,2021,"RIVERSIDE, CA",RIVERSIDE,CA,58.8
0,2021,"RALEIGH, NC",RALEIGH,NC,55.1
0,2021,"OMAHA, NE",OMAHA,NE,51.5
0,2021,"VANCOUVER, WA",VANCOUVER,WA,55.9
0,2021,"DETROIT, MI",DETROIT,MI,56.4
0,2021,"JACKSONVILLE, FL",JACKSONVILLE,FL,52.6
0,2021,"ORLANDO, FL",ORLANDO,FL,55.7
0,2021,"LAS VEGAS, NV",LAS VEGAS,NV,53.7
0,2021,"KANSAS CITY, MO",KANSAS CITY,MO,50.7
0,2021,"MADISON, WI",MADISON,WI,53.7
0,2021,"FORT WORTH, TX",FORT WORTH,TX,52.4
0,2021,"RICHMOND, VA",RICHMOND,VA,53.1
0,2021,"SAINT LOUIS, MO",SAINT LOUIS,MO,51.2
0,2021,"FRESNO, CA",FRESNO,CA,51.1
0,2021,"LOUISVILLE, KY",LOUISVILLE,KY,51.5
0,2021,"DES MOINES, IA",DES MOINES,IA,49.7
0,2021,"LINCOLN, NE",LINCOLN,NE,48.1
0,2021,"RENO, NV",RENO,NV,54.6
0,2021,"EUGENE, OR",EUGENE,OR,51.4
0,2021,"TUCSON, AZ",TUCSON,AZ,47.8
0,2021,"PHOENIX, AZ",PHOENIX,AZ,53.3
0,2021,"KNOXVILLE, TN",KNOXVILLE,TN,50.9
0,2021,"BATON ROUGE, LA",BATON ROUGE,LA,50.1
0,2021,"HOUSTON, TX",HOUSTON,TX,54.5
0,2021,"INDIANAPOLIS, IN",INDIANAPOLIS,IN,48.9
0,2021,"AKRON, OH",AKRON,OH,44.3
0,2021,"ALBUQUERQUE, NM",ALBUQUERQUE,NM,47.2
0,2021,"HUNTSVILLE, AL",HUNTSVILLE,AL,48.3
0,2021,"DALLAS, TX",DALLAS,TX,56.7
0,2021,"OKLAHOMA CITY, OK",OKLAHOMA CITY,OK,48.9
0,2021,"SAN ANTONIO, TX",SAN ANTONIO,TX,51.8
