,company_id,company_name,posted_date,remoteflex,locations,category,position,level,content_salary,content_year,content_prog_lang,content_line
0,11913,Siemens,2023-05-31,1,"FLEXIBLE / REMOTE,PORTLAND, OR",Data and Analytics,PCB Electronic Data Management (EDM) & PLM Consultant (Remote),senior,,5,,"['the candidate must have strong experience in design and data management,', 'Minimum of 5 years of experience in a similar role. Strong', 'asadditional factors, including job-related skills, experience, and relevanteducation/training.Siemens offers a variety']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,"Data Scientist - Payment Accuracy, Medicaid",mid,"['$82,915.00', '-', '$175,100.00']",1+,"['SQL', 'Python']","['provider offerings, and enhance consumer experience. You will be part of', 'of relevant programming or analytic experience. Experience in programming using Python', ""Preferred Qualifications Healthcare industry work experience is preferred Education Bachelor's degree"", ""Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science,"", 'a variety of factors including experience, education, geography and other relevant']"
0,61,Uber,2024-03-29,0,"NEW YORK, NY,SAN FRANCISCO, CA,SEATTLE, WA,SUNNYVALE, CA",Data and Analytics,Data Scientist II/ Sr. Data Scientist - Consumer Pricing & Incentives,senior,"['USD$140,000', 'per', 'year', '-', 'USD$156,000', 'per', 'year.', 'For', 'San', 'Francisco,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$140,000', 'per', 'year', '-', 'USD$156,000', 'per', 'year.', 'For', 'Seattle,', 'WA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$140,000', 'per', 'year', '-', 'USD$156,000', 'per', 'year.', 'For', 'Sunnyvale,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$140,000', 'per', 'year', '-', 'USD$156,000']",2,['SQL'],"['least 2 year of industry experience as a Product Data Scientist', 'least 3 years of industry experience as a Product Data Scientist', 'Qualifications</strong> 4+ years of industry experience Advanced analytics skills such as']"
0,11799,Cisco Meraki,2023-06-09,0,"SAN FRANCISCO, CA",Data and Analytics,Data Platform Engineer II (Data Science Infrastructure)- Fall 2023 Internship (Meraki),internship,,2+,"['Scala', 'AWS', 'Java', 'Python']","['improve our product and customer experience. This would be an outstanding', 'to ensure a seamless user experience and high uptime. Improve and', 'or equivalent combination of work experience. 2+ years of experience in', 'work experience. 2+ years of experience in Python and Scala /', 'scripting languages. 2+ years of experience writing professional production level code', 'Spark, etc) Bonus points for experience in using AWS services such', ""people. We're building an employee experience that includes appreciation, belonging, growth,"", 'but not limited to skillset, experience, and relevant education, certifications, or']"
0,12145,Bank of America,2024-03-12,0,"BOSTON, MA,BREWER, ME,CHARLOTTE, NC,CHICAGO, IL,JACKSONVILLE, FL,KENNESAW, GA,NEW YORK, NY,PHOENIX, AZ,PLANO, TX,RICHMOND, VA",Data and Analytics,Consumer Product Strategy Analyst III,mid,,3+,"['Tableau', 'SQL', 'Python']","['broad range of backgrounds and experiences and invest heavily in our', 'negative impacts to the customer experience. Key responsibilities include utilizing a', 'technical skills required. Good working experience with Tableau, HIVE SQL, and', 'Qualifications: 3+ years of fraud experience and/or 3+ years of analytical', 'and/or 3+ years of analytical experience (Payment card /Retail Bank background']"
0,11913,Siemens,2023-05-12,1,"FLEXIBLE / REMOTE,HOUSTON, TX",Data and Analytics,Solution Architect (XHQ),senior,,One,['SQL'],"['Use the customer solution development experience to assist in solution testing', 'Engineering or foreign equivalent. Solid experience on on-prem, hybrid and cloud', 'cloud solution deployment Proven strong experience in SQL queries for MS', 'data routing and firewalls Hands-on experiences on using Web Service, RESTful', 'PHD, and AspenTech IP21, including experience interfacing to historians using SDK-level', 'Modeling, with some demonstrated hands-on experience. Prior exposure to Data Visualization', 'One year of applications programming experience in Java, JavaScript, VB.NET and/or', 'web applications in (SaaS). Development experience with relational databases and SQL,', 'Server and PostgreSQL Hands on experience with Siemens XHQ, ideally in', 'is a plus. Project Management experience is a plus Knowledge of']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,12145,Bank of America,2024-04-12,0,"CHARLOTTE, NC,NEW YORK, NY",Data and Analytics,Compliance & Op Risk Manager - EQ/Futures,senior,,,,"['broad range of backgrounds and experiences and invest heavily in our', 'associated market microstructure; Knowledge and/or experience on a trading desk to', 'including clearance and settlement; Technical experience and understanding of data attributes']"
