,JOB_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_POSTAL_CODE,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA
0,ENGINEERING MANAGER-DATA INFRASTRUCTURE,GM CRUISE LLC,SAN FRANCISCO,94103,3,2019,98.6,203949.3,1,small,1,0
1,"SENIOR ANALYST, STRATEGY & GROWTH (DATA INTELLIGENCE)","SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,170577.1,0,small,1,0
2,DIRECTOR OF DATA SCIENCE AND ENGINEERING,SALESFORCE.COM INC.,SAN FRANCISCO,94105,3,2019,98.6,203949.3,1,large,1,0
3,VP/DATA SCIENCE,"DIGITAS, INC.",NEW YORK,10014,2,2019,100.0,160763.0,0,medium,0,0
4,DATA ANALYTICS LEAD,"PAX LABS, INC.",SAN FRANCISCO,94110,1,2019,98.6,137203.9,0,small,1,0
5,"MANAGER, DATA SCIENTIST",TWENTIETH CENTURY FOX FILM CORP.,LOS ANGELES,90064,1,2019,73.9,145740.2,0,medium,0,1
6,"SENIOR PRODUCT MANAGER, DATA SCIENCE AND MACHINE LEARNING","ADROLL, INC.",SAN FRANCISCO,94110,2,2019,98.6,170577.1,0,large,1,0
7,"PRODUCT MANAGER, BIG DATA PLATFORM","ADROLL, INC.",SAN FRANCISCO,94110,2,2019,98.6,170577.1,0,large,1,0
8,"DIRECTOR, ENGINEERING DATA PLATFORM","TAPJOY, INC.",SAN FRANCISCO,94111,3,2019,98.6,203949.3,1,large,1,0
9,"SENIOR MANAGER, MARKETING DATABASE MANAGEMENT","SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,170577.1,0,small,1,0
10,"MANAGER, DATA & ANALYTICS","RALLY HEALTH, INC.",SAN FRANCISCO,94107,2,2019,98.6,170577.1,0,large,1,0
11,DATA ENGINEERING MANAGER,FACEBOOK INC.,NEW YORK,10003,3,2019,100.0,199139.0,1,medium,0,0
12,ECOM DATA ENGINEER HEAD,"PEPSICO, INC.",SAN FRANCISCO,94108,2,2019,98.6,170577.1,1,large,1,0
13,"PRODUCT MANAGER, BIG DATA PLATFORM","ADROLL, INC.",SAN FRANCISCO,94110,2,2019,98.6,162982.8,0,large,1,0
14,"SENIOR DIRECTOR, DATA SERVICES",LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,3,2019,98.6,197009.1,0,small,1,0
15,"SENIOR VICE PRESIDENT, CHIEF DATA OFFICER","WIRB-COPERNICUS GROUP, INC.",NEW YORK,10016,4,2019,100.0,259834.0,0,small,0,0
16,CLINICAL RESEARCH DATA SPECIALIST,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,90048,1,2019,73.9,67410.0,0,small,0,1
17,DATA ANALYST,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94103,2,2019,98.6,74845.8,0,large,1,0
18,DATA ANALYST,CONTEXTLOGIC INC.,SAN FRANCISCO,94104,3,2019,98.6,123513.2,0,medium,1,0
19,SENIOR DATA SCIENTIST,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94103,2,2019,98.6,95667.3,0,large,1,0
20,"MANAGEMENT ANALYST, DATA OPERATIONS",DIGITAL ENLIGHTENMENT LLC,NEW YORK,10091,2,2019,100.0,87506.0,0,small,0,0
21,DATA SCIENTIST,DANAHER LABS LLC,LOS ANGELES,90025,3,2019,73.9,127023.0,0,medium,0,1
22,LEAD DATA ANALYST III,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94105,4,2019,98.6,142245.4,0,large,1,0
23,LEAD DATA ANALYST I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94105,4,2019,98.6,142245.4,0,large,1,0
24,LEAD DATA SCIENTIST,AETNA RESOURCES LLC,NEW YORK,10017,4,2019,100.0,97573.0,0,medium,0,0
25,"MANAGER, DATABASE MARKETING 3","PAYPAL, INC.",NEW YORK,10014,4,2019,100.0,97573.0,0,large,0,0
26,SENIOR DATA SCIENTIST,"RALLY HEALTH, INC.",SAN FRANCISCO,94107,4,2019,98.6,118450.3,0,large,1,0
27,ASSOCIATE DATA ANALYST,GLU MOBILE INC.,SAN FRANCISCO,94103,3,2019,98.6,98283.0,0,large,1,0
28,MARKET DATA ANALYST,"NOMURA AMERICA SERVICES, LLC",NEW YORK,10019,3,2019,100.0,80829.0,0,medium,0,0
29,"ANALYST, DATA & ANALYSIS","DIGITAS, INC.",SAN FRANCISCO,94104,1,2019,98.6,57969.6,0,medium,1,0
30,DATA SCIENTIST (MARKET RESEARCH ANALYST),"N3TWORK, INC.",SAN FRANCISCO,94104,4,2019,98.6,118450.3,0,large,1,0
31,"MARKETING MANAGER, DATA STRATEGY & ANALYTICS","UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94103,3,2019,98.6,98283.0,0,large,1,0
32,SENIOR DATA STRATEGIST,"GREY GLOBAL GROUP, LLC",NEW YORK,10010,3,2019,100.0,80829.0,0,small,0,0
33,MARKET RESEARCH DATA ANALYST,"GROUP SJR, LLC",NEW YORK,10010,2,2019,100.0,64085.0,0,small,0,0
